Time,F-Scale,Location,County,State,Lat,Lon,Comments
2036,UNK,2 NE BUCKEYE,LARIMER,CO,40.82,-105.1,(BOU)
2105,UNK,3 NE MILTON,ROCK,WI,42.81,-88.91,(MKX)
0002,UNK,6 SSW ALGONA,KOSSUTH,IA,42.99,-94.28,60 X 90 FOOT 2 YEAR SHED DESTROYED. EMERGENCY MANAGER REPORTS A TWISTED PATH THROUGH A CORN FIELD LEADING UP TO THE SHED WITH METAL ALSO DISTRIBUTED IN A CIRCULAR PATTE (DMX)
0535,UNK,3 W BALDWIN,LAKE,MI,43.9,-85.91,PATH 4 MILES LONG AND ONE HALF MILE WIDE AT ITS WIDEST POINT. TOP WINDS ESTIMATED AT 120 MPH. DAMAGE BEGAN AT EVERGREEN AND 64TH STREET AND ENDED AT WINGELTON AND 52ND (GRR)
