Time,F-Scale,Location,County,State,Lat,Lon,Comments
2235,UNK,7 NE REGAN,BURLEIGH,ND,47.23,-100.42,(BIS)
2235,UNK,9 N REGAN,BURLEIGH,ND,47.29,-100.53,TORNADO REPORTED BY NORTH DAKOTA GAME AND FISH OFFICIAL WHO FOLLOWED IT. TORNADO LIFTED AROUND 551 PM CDT IN SHERIDAN COUNTY NEAR 5TH ST NE AND 3RD AVE SE. WEATHER CHAS (BIS)
0010,UNK,15 SE SUTTON,GRIGGS,ND,47.25,-98.21,PERSON 5 S OF SUTTON ND SEES A TORNADO 10 MILES TO HIS EAST ... RELAYED VIA WFO BISMARCK (FGF)
0030,UNK,6 NW HANNAFORD,GRIGGS,ND,47.38,-98.28,TORNADO TOUCHED DOWN AND TORE THE ROOF OFF OF A SHED (FGF)
0031,UNK,9 SSE BOWDON,WELLS,ND,47.35,-99.65,THIS TORNADO LIFTED 9 MILES SOUTH OF HEATON AT 745 PM CDT AS REPORTED BY LAW ENFORCEMENT OUT OF WELLS COUNTY. NO REPORTS OF DAMAGE. (BIS)
0051,UNK,1 SW MINNEWAUKAN,BENSON,ND,48.06,-99.27,FIRE DEPT AND LAW ENFORCEMENT REPORT TORNADO ON THE GROUND 2 SOUTH AND 1 WEST OF MINNEWAUKAN (FGF)
0056,UNK,3 S MINNEWAUKAN,BENSON,ND,48.03,-99.25,TORNADO REPORTED OVER LONG LAKE SUCKING UP WATER (FGF)
0246,UNK,2 S LINTON,EMMONS,ND,46.24,-100.23,(BIS)
0247,UNK,5 E LINTON,EMMONS,ND,46.27,-100.13,(BIS)
0248,UNK,5 W STUMP LAKE,RAMSEY,ND,47.91,-98.54,(FGF)
