Time,F-Scale,Location,County,State,Lat,Lon,Comments
2206,UNK,1 NE WEBSTER,SUMTER,FL,28.62,-82.04,ROOF TORN OFF A DOUBLE WIDE HOME. RESIDENT INDICATED THAT SHE OBSERVED A FUNNEL CLOUD BRIEFLY TOUCH DOWN ON HER HOME...THEN QUICKLY LIFT AND DISSIPATE. REPORT RELAYED F (TBW)
2215,UNK,1 SE FALLSTON,HARFORD,MD,39.51,-76.41,A TORNADO TOUCHED DOWN NEAR FALLSTON MONDAY AFTERNOON. NWS DAMAGE SURVEY SUGGESTS THIS TORNADO WAS AN EF1 INTENSITY ON THE ENHANCED FUJITA SCALE. MAXIMUM PATH WIDTH WAS (LWX)
2249,UNK,7 W HASKINS,WASHINGTON,IA,41.33,-91.67,REPORTED TO LAW ENFORCEMENT (DVN)
