Time,F-Scale,Location,County,State,Lat,Lon,Comments
2115,UNK,5 S BOYERO,LINCOLN,CO,38.86,-103.27,REPORTED BY CDOT WORKER. UNABLE TO CONFIRM AT THIS TIME. (BOU)
0131,UNK,4 N BRISTOL,PROWERS,CO,38.18,-102.32,STARTED AT 727 PM. (PUB)
0530,UNK,ELLIOTT,DORCHESTER,MD,38.31,-76,*** 2 INJ *** APPARENT WATERSPOUT MOVED ON SHORE. 24 FOOT TRAVEL TRAILER OVERTURNED 3 TIMES AT THE EXTREME WEST END OF ELLIOTTS ISLAND. SOME DAMAGE TO TREES AND OTHER V (AKQ)
