Time,F-Scale,Location,County,State,Lat,Lon,Comments
1554,UNK,2 WNW HAMMOND,ST. CROIX,WI,44.98,-92.48,30 HOUSES DAMAGED...INCLUDING ONE WITH ROOF TAKEN OFF. GARAGE AND SHEDS DESTROYED. NUMEROUS TREES BROKEN...DOWN OR SNAPPED. DAMAGE SURVEY DETERMINED TORNADO WAS RATED E (MPX)
1920,UNK,6 NW NORTHFIELD,DAKOTA,MN,44.52,-93.25,AN NWS STORM SURVEY TEAM DETERMINED AN EF-0 TORNADO OCCURRED WITH A PATH LENGTH OF APPROXIMATELY 3.5 MILES. A TWO TON TRUCK WAS OVERTURNED ON INTERSTATE 35 AND A SMALL (MPX)
1930,UNK,3 NE NORTHFIELD,DAKOTA,MN,44.49,-93.12,AN NWS STORM SURVEY TEAM DETERMINED AN EF-1 TORNADO OCCURRED WITH A PATH LENGTH OF APPROXIMATELY 1.5 MILES. DAMAGE WAS DONE TO ONE HOUSE...A CAMPER...AND MULTIPLE SHEDS (MPX)
1932,UNK,1 N NORTHFIELD,RICE,MN,44.47,-93.17,MULITPLE REPORTS OF TORNADO ON THE GROUND 1 MILE N OF NORTHFIELD MOVING NE. (MPX)
1940,UNK,LAKEVILLE,DAKOTA,MN,44.68,-93.24,TORNADO REPORTED BY LAW ENFORCEMENT IN SOUTHERN LAKEVILLE. ANOTHER REPORT OF A TORNADO FROM 2 MILES S OF LAKEVILLE AT INTERSECTION OF INTERSTATE 35 AND HWY 19. VEHICLE (MPX)
1943,UNK,2 NW RANDOLPH,DAKOTA,MN,44.58,-93.09,(MPX)
1954,UNK,5 WNW ELLSWORTH,PIERCE,WI,44.77,-92.58,TORNADO RATED EF-2 ON THE GROUND FOR APPROXIMATELY 15 MILES... DISSIPATING 3 MILES SOUTHWEST OF SPRING VALLEY. TORNADO MOVED TO THE EAST-NORTHEAST. DAMAGE INCLUDED STRU (MPX)
2006,UNK,6 SSE MARTEL,PIERCE,WI,44.76,-92.34,TORNADO RATED EF-2 ON THE GROUND FOR APPROXIMATELY 5 MILES. IT TOUCHED DOWN JUST SOUTH OF EL PASO AND MOVED NORTHEAST... DISSIPATING 1.5 MILES SOUTHWEST OF SPRING VALLE (MPX)
2017,UNK,2 WNW BOYCEVILLE,DUNN,WI,45.05,-92.08,EF-0 DAMAGE OCCURRED FROM A TORNADO THAT WAS ONE HALF MILE LONG AND MOVED NORTH-NORTHEAST. IT SNAPPED OR BROKE ABOUT TWO DOZEN TREES. (MPX)
2115,UNK,5 SE OSSEO,JACKSON,WI,44.53,-91.15,TRAINED SPOTTERS REPORT TORNADO ON SOUTHEASTERN SIDE OF OSSEO (ARX)
2120,UNK,4 SE OSSEO,JACKSON,WI,44.54,-91.16,JACKSON COUNTY SHERIFF REPORTS TORNADO CROSSING I-94 AT MILE MARKER 96 (ARX)
2124,UNK,LUBLIN,TAYLOR,WI,45.08,-90.72,UNCONFIRMED TORNADO IN FAIRCHILD TOWNSHIP (ARX)
2125,UNK,4 NW ALMA CENTER,JACKSON,WI,44.48,-90.97,FIRST EVIDENCE OF TREE DAMAGE WAS NOTED ALONG TOWN HOUSE ROAD. DAMAGE INTERMITTENTLY CONTINUED EAST SOUTHEAST THROUGH THE VILLAGE OF MERRILLAN. ALL THIS DAMAGE WAS EF0. (ARX)
2229,UNK,FORT MC COY,MONROE,WI,44.02,-90.68,TORNADO REPORTED ON THE GROUND WEST SIDE OF BASE (ARX)
2248,UNK,WISCONSIN RAPIDS,WOOD,WI,44.4,-89.84,BRIEF TOUCHDOWN IN CITY. (GRB)
2315,UNK,5 ESE CLOVERDALE,PINE,MN,45.98,-92.64,UNCONFIRMED PUBLIC REPORT OF A TORNADO TOUCHDOWN NEAR PATHFINDER VILLAGE EAST OF HINCKLEY NEAR HIGHWAY 48. (DLH)
0010,UNK,NEENAH,WINNEBAGO,WI,44.18,-88.44,POSSIBLE TORNADO AT CTY ROAD A AND HIGHWAY 41. (GRB)
