Time,F-Scale,Location,County,State,Lat,Lon,Comments
1743,UNK,3 W LA MOILLE,BUREAU,IL,41.53,-89.34,BRIEF TOUCHDOWN. (DVN)
1934,UNK,METAMORA,WOODFORD,IL,40.79,-89.36,REPORTED NEAR METAMORA. ESDA REPORT. (ILX)
1940,UNK,4 W ROANOKE,WOODFORD,IL,40.8,-89.2,*** 10 INJ *** LARGE EQUIPMENT PLANT DESTROYED. (ILX)
1942,UNK,1 S EUREKA,WOODFORD,IL,40.7,-89.28,TORNADO ON THE GROUND MOVING SE (ILX)
1952,UNK,8 N NORMAL,MCLEAN,IL,40.63,-89,BRIEF TORNADO TOUCHDOWN AT I-39 AND LAKE BLOOMINGTON ROAD. (ILX)
1954,UNK,MINONK,WOODFORD,IL,40.9,-89.04,(ILX)
1957,UNK,SECOR,WOODFORD,IL,40.74,-89.14,REPORTED WEST OF SECOR. ESDA REPORT. (ILX)
2028,UNK,ROANOKE,WOODFORD,IL,40.8,-89.2,TORNADO WITH DEBRIS ON THE WEST END OF ROANOKE (ILX)
2046,UNK,CLARKS MILLS,MANITOWOC,WI,44.08,-87.86,(GRB)
0143,UNK,WRIGHT,CAMPBELL,WY,43.75,-105.5,NORTH SIDE OF WRIGHT...BRIEF TOUCHDOWN (UNR)
