Time,F-Scale,Location,County,State,Lat,Lon,Comments
1940,UNK,8 SSW NAPOLEON,LOGAN,ND,46.4,-99.84,POSSIBLE TORNADO. 1800 FEET OF SHELTER BELT MISSING. GRAIN BIN DESTROYED AND THROWN INTO TREE IN FRONT YARD. NWS DAMAGE SURVEY WILL BE CONDUCTED. (BIS)
1940,UNK,7 S NAPOLEON,LOGAN,ND,46.41,-99.77,18 THOUSAND BUSHEL GRAIN BIN MOVED 250 YDS. EXTENSIVE TREE DAMAGE WITH DOWNED TREES POINTING IN RANDOM DIRECTIONS. TREES 60 YEARS OLD...100 FT TALL. (BIS)
1945,UNK,BURNSTAD,LOGAN,ND,46.39,-99.63,TREES UPROOTED...SOME AS LARGE AS 4 FEET IN DIAMETER AND GREATER THAN 100 FEET TALL. (BIS)
1945,UNK,1 W BURNSTAD,LOGAN,ND,46.39,-99.65,GRAIN BIN WITH ESTIMATED WEIGHT OF 17 TO 20 THOUSAND POUNDS...10 TONS...WAS LIFTED AND ROLLED NEARLY THREE QUARTERS OF A MILE FROM ITS ORIGINAL LOCATION TO ANOTHER FARM (BIS)
1958,UNK,12 S PUEBLO,PUEBLO,CO,38.09,-104.61,LANDSPOUT SOUTHERLY DIRECTION FROM OFFICE. TUBE FROM GROUND ABOUT A THIRD OF THE WAY TO THE CLOUD BASE BUT NOT CONNECTED. LASTED FOR ABOUT 2 MINUTES. UPDATE...MEDIA REP (PUB)
1958,UNK,12 SSW PUEBLO,PUEBLO,CO,38.11,-104.7,LANDSPOUT REPORTED TO HAVE PICKED UP CARPORT AND BLOWN IT OVER...DAMAGING CAR. ALSO REPORTED TO HAVE LIFTED ROOF ON RECREATION ROOM CAUSING DAMAGE. (PUB)
1958,UNK,5 SSE PUEBLO,PUEBLO,CO,38.2,-104.58,LANDSPOUT SOUTHERLY DIRECTION FROM OFFICE. TUBE FROM GROUND ABOUT A THIRD OF THE WAY TO THE CLOUD BASE BUT NOT CONNECTED. LASTED FOR ABOUT 2 MINUTES. (PUB)
2034,UNK,1 W ASHLEY,MCINTOSH,ND,46.03,-99.39,MCINTOSH COUNTY SHERIFF REPORTED A TORNADO ON THE GROUND. RELAYED BY STATE RADIO. (BIS)
2048,UNK,5 NW MERRICOURT,DICKEY,ND,46.26,-98.84,DELAYED REPORT. DAMAGE ASSESSMENT TEAM SURVEYED DAMAGE AT A FARMSTEAD 5 MILES NORTHWEST OF MERRICOURT. RESIDENTS WITNESSED A TORNADO TOUCHDOWN IN A SHELTERBELT AS THEY (BIS)
2104,UNK,MONANGO,DICKEY,ND,46.17,-98.59,POWER LINES DOWN. (BIS)
2135,UNK,5 NW OAKES,DICKEY,ND,46.19,-98.16,OAKES POLICE DEPARTMENT REPORTS A TORNADO ON THE GROUND NEAR OAKES. (BIS)
0012,UNK,15 SE SUTTON,GRIGGS,ND,47.25,-98.21,PERSON 5 S OF SUTTON ND SEES A TORNADO 10 MILES TO HIS EAST ... RELAYED VIA WFO BISMARCK (FGF)
0147,UNK,5 N ATWATER,KANDIYOHI,MN,45.21,-94.76,ESTIMATED LOCATION AND TIME. MULTIPLE REPORTS OF A TORNADO ON THE GROUND IN THIS AREA. A DETAILED ACCOUNT INDICATED THIS WAS IN THE MIDDLE OF A FIELD THAT WAS UNREACHAB (MPX)
0148,UNK,GROVE CITY,MEEKER,MN,45.15,-94.68,ON THE GROUND. (MPX)
0148,UNK,6 NW GROVE CITY,KANDIYOHI,MN,45.21,-94.77,ESTIMATED LOCATION. MULTIPLE REPORTS OF A TORNADO ON THE GROUND SIGHTED FROM GROVE CITY. RADAR INDICATES THAT AERAS OF ROTATION WERE NORTHWEST OF GROVE CITY AND NOT ACT (MPX)
