Time,F_Scale,Location,County,State,Lat,Lon,Comments
1233,UNK,CHERRYSTONE,NORTHAMPTON,VA,37.31,-76,*** 2 FATAL... 36 INJ *** EF-1 TORNADO MOVED OFF THE CHESAPEAKE BAY...THEN CROSSED NORTHERN PORTIONS OF CHERRYSTONE CAMPGROUND...THEN MOVED EASTWARD ACROSS RT. 13. (AKQ)
2200,UNK,6 ESE WEDGEFIELD,ORANGE,FL,28.46,-80.99,EXAMINATION OF VIDEO AND PHOTOGRAPHS FROM MOTORISTS CONFIRM A VERY WEAK TORNADO BRIEFLY TOUCHED DOWN NEAR/ALONG STATE ROAD 520...JUST NORTH OF THE STATE ROAD 528 INTERS (MLB)
0119,UNK,4 W WIBAUX,WIBAUX,MT,46.99,-104.27,ON THE GROUND MOVING NE. (GGW)
