Time,F-Scale,Location,County,State,Lat,Lon,Comments
2127,UNK,5 NNW BROKAW,MARATHON,WI,45.1,-89.69,BRIEF TOUCHDOWN. NO DAMAGE REPORTED. (GRB)
2141,UNK,5 NNE BROKAW,MARATHON,WI,45.1,-89.61,ANOTHER TOUCHDOWN. REPORTED BY PUBLIC. (GRB)
2242,UNK,WABENO,FOREST,WI,45.43,-88.66,POSSIBLE TOUCHDOWN. (GRB)
2349,UNK,6 N PITTSVILLE,WOOD,WI,44.54,-90.13,BRIEF TORNADO SEEN BY LAW ENFORCEMENT AND SPOTTER. LEAVES WERE TORN OFF TOP OF TREES. (GRB)
0717,UNK,3 N CLARE,CLARE,MI,43.86,-84.77,EF-0 TORNADO. A BARN WAS BLOWN DOWN AND A CARPORT ROOF BLOWN OFF. ONE LARGE WILLOW TREE WAS UPROOTED. SEVERAL OTHER TREES WERE SNAPPED OFF OR UPROOTED. DAMAGE PATH IS A (GRR)
