Time,F-Scale,Location,County,State,Lat,Lon,Comments
2050,UNK,RUTHTON,PIPESTONE,MN,44.18,-96.1,(FSD)
2057,UNK,TYLER,LINCOLN,MN,44.28,-96.14,(FSD)
2131,UNK,6 W VESTA,REDWOOD,MN,44.51,-95.54,TORNADO RATED EF-1. IT TOUCHED DOWN IN REDWOOD COUNTY... MOVED ACROSS A CORNER OF YELLOW MEDICINE COUNTY... BACK INTO REDWOOD COUNTY WHERE IT MOVED THROUGH BELVIEW... T (MPX)
2131,UNK,6 NNW MILROY,REDWOOD,MN,44.51,-95.58,TORNADO RATED EF-1. TOUCHED DOWN JUST EAST OF THE BORDER WITH LYON COUNTY AND MOVED NORTHEAST TO 8 N MILROY. PATH LENGTH 2.5 MILES WITH A MAXIMUM WIDTH OF 300 YARDS. TR (MPX)
2203,UNK,1 NW DANUBE,RENVILLE,MN,44.8,-95.12,TORNADO RATED EF-1. TOUCHED DOWN ABOUT 1/2 MILE NORTHWEST OF DANUBE AND MOVED NORTH-NORTHEAST. IT DISSIPATED 3 N DANUBE. PATH LENGTH 2.5 MILES AND MAXIMUM WIDTH 300 YAR (MPX)
2323,UNK,5 WSW ST CLOUD,STEARNS,MN,45.52,-94.27,TORNADO RATED EF-0. IT TOUCHED DOWN JUST NORTHEAST OF THE INTERSECTION OF I-94 AND HIGHWAY 23. DOZENS OF TREES WERE BROKEN... TOPPLED OR PUSHED OVER AS THE TORNADO MOVE (MPX)
0051,UNK,3 SW SOLON SPRINGS,DOUGLAS,WI,46.32,-91.87,NWS SURVEY DETERMINED EF-2 TORNADO STRUCK SW OF SOLON SPRINGS. A HOUSE WAS DESTROYED...AND SEVERAL OTHER STRUCTURES AND HOUSES WERE DAMAGED. MANY TREES WERE SNAPPED OR (DLH)
