Time,F-Scale,Location,County,State,Lat,Lon,Comments
2235,UNK,8 S MANNING,DUNN,ND,47.11,-102.77,MULTIPLE PUBLIC REPORTED A TORNADO ON THE GROUND 8 MILES SOUTH OF MANNING. (BIS)
2243,UNK,10 E HALLIDAY,MERCER,ND,47.35,-102.12,THE HALLIDAY COOP OBSERVER REPORTED A TORNADO ON THE GROUND 10 MILES EAST OF HALLIDAY. (BIS)
2302,UNK,1 W BEULAH,MERCER,ND,47.26,-101.8,REPORTED BY MERCER COUNTY DEPUTY. (BIS)
2338,UNK,3 NW CANNON BALL,MORTON,ND,46.42,-100.64,PUBLIC REPORTED TORNADO ON THE GROUND NEAR THE CANNON BALL RIVER. (BIS)
2359,UNK,1 N UNDERWOOD,MCLEAN,ND,47.47,-101.14,PUBLIC REPORT OF TORNADO RELAYED BY LAW ENFORCEMENT. (BIS)
0135,UNK,W NAPOLEON,LOGAN,ND,46.51,-99.77,PUBLIC REPORTED A TORNADO ON THE GROUND. RELAYED VIA STATE RADIO. (BIS)
