Time,F-Scale,Location,County,State,Lat,Lon,Comments
1735,UNK,BROAD CREEK,CARTERET,NC,34.71,-76.97,OUTDOOR FURNITURE DAMAGED. (MHX)
1810,UNK,PARRIS ISLAND,BEAUFORT,SC,32.35,-80.68,WATERSPOUT OVER THE BROAD RIVER OFFSHORE OF PARRIS ISLAND. (CHS)
1817,UNK,1 NE PARRIS ISLAND,BEAUFORT,SC,32.36,-80.67,FIRST TORNADO DISSIPATED...ANOTHER FORMED...HEADED TOWARD SR 170 BRIDGE OVER BROAD RIVER. (CHS)
1825,UNK,3 NE PARRIS ISLAND,BEAUFORT,SC,32.38,-80.65,EM REPORTS TORNADO HAS DISSIPATED. HOWEVER...A FUNNEL CLOUD WAS STILL SEEN IN ANOTHER PART OF THE STORM. (CHS)
1833,UNK,12 WSW SUMTER,SUMTER,SC,33.88,-80.59,PUBLIC REPORTED TORNADO ON THE GROUND NEAR WEDGEFIELD. (CAE)
1839,UNK,2 S BEAUFORT,BEAUFORT,SC,32.4,-80.67,BRIEF TORNADO TOUCH DOWN JUST SOUTH OF BEAUFORT. NO DAMAGE REPORTED. (CHS)
1855,UNK,10 WSW SUMTER,SUMTER,SC,33.89,-80.55,SUMTER COUNTY EMD REPORTS TORNADO IN MANCHESTER STATE FOREST. (CAE)
2040,UNK,3 SE LINCOLNTON,LINCOLN,NC,35.45,-81.21,EM REPORTED DAMAGE TRACK 50-75 YDS WIDE AND MULTI MILES LENGTH IN AREA WHERE FUNNEL OBSERVED. MANY TREES AND TREE TOPS SNAPPED OFF WITH SOME HANGING. (GSP)
2300,UNK,DOMINY CORNER,NOTTOWAY,VA,37.08,-77.97,F0 TORNADO. DAMAGED PART OF THE ROOF OF A HANGER AT BLACKSTONE ARMY AIR FIELD. ALSO DAMAGE TO 2 PLANES AND TREES DOWN. INTERMITTENT PATH LENGTH OF ONE QUARTER MILE. TOR (AKQ)
