Time,F_Scale,Location,County,State,Lat,Lon,Comments
2105,UNK,26 S SWIFT,Beltrami,MN,48.48,-95.22,A PERSISTENT FUNNEL CLOUD WAS VIEWED FOR A FEW MINUTES BY AN OBSERVER LOCATED ABOUT 6 WSW OF NORRIS CAMP. THE FUNNEL APPEARED TO DESCEND VERY NEAR THE DISTANT TREE TOPS (FGF)
2140,UNK,3 S FAUNCE,Lake Of The Woods,MN,48.55,-94.95,THIS TORNADO SNAPPED SEVERAL POPLAR... SPRUCE... AND TAMARAC TREES LEAVING A 50 YARD WIDE GOUGE IN THE FOREST AND ACROSS FAUNCE ROAD SOUTH. IT TRACKED INTERMITTENTLY FO (FGF)
2300,UNK,3 N WIRT,ITASCA,MN,47.77,-93.95,LAW ENFORCEMENT REPORTED A FUNNEL CLOUD THAT TOUCHED DOWN BRIEFLY ON COUNTY ROAD 14 NEAR COUNTY ROAD 31 HEADING EAST TOWARDS BIGFORK. LOCATION ESTIMATED BY RADAR. (DLH)
0005,UNK,22 NE LUSK,NIOBRARA,WY,42.99,-104.15,CONFIRMED TORNADO ON THE GROUND. BROKEN BRANCHES. FOUR TO FIVE HOMES WITHOUT POWER. PING PONG BALL SIZE HAIL AND HEAVY RAIN. (CYS)
0025,UNK,15 N HARRISON,SIOUX,NE,42.91,-103.88,CONFIRMED TORNADO ON THE GROUND. (CYS)
0052,UNK,1 WSW FOUR CORNERS,WESTON,WY,44.08,-104.16,(UNR)
0106,UNK,10 NNE KABETOGAMA,ST. LOUIS,MN,48.56,-92.93,TORNADO REPORTED WITH TREES DOWN NEAR HOUSEBOATS ON SAGINAW BAY AND MARION BAY. TIME ESTIMATED BY RADAR. (DLH)
0107,UNK,2 NW GHEEN,ST. LOUIS,MN,47.99,-92.83,A TRAINED SPOTTER REPORTED A STORM WITH HEAVY ROTATION AND A TORNADO ON THE GROUND JUST SOUTH OF ORR... NEAR US HIGHWAY 53. (DLH)
0110,UNK,3 NNW GHEEN,ST. LOUIS,MN,48.01,-92.83,SMALL DEBRIS LOFTED BY TORNADO WITH FUNNEL SEEN. TORNADO HEADED EAST TOWARDS ELBOW LAKE. (DLH)
