Time,F-Scale,Location,County,State,Lat,Lon,Comments
1912,UNK,6 W MOORE HAVEN,GLADES,FL,26.83,-81.2,GLADES COUNTY EMERGENCY MANAGEMENT REPORTED A TORNADO TOUCHING DOWN IN GLADES COUNTY NEAR THE INTERSECTION OF U.S. 27 AND STATE ROAD 78. NO REPORT OF INJURIES,FATALITI (MFL)
2135,UNK,4 NNE REYNOLDS,GRAND FORKS,ND,47.72,-97.08,A STORM DAMAGE SURVEY SHOWED EVIDENCE OF AN EF-1 TORNADO THAT LASTED FROM ABOUT 435 TO 445 PM. ESTIMATED PATH WIDTH WAS 100 TO 150 YARDS WITH PEAK WINDS AROUND 90 TO 10 (FGF)
2138,UNK,3 NNE REYNOLDS,GRAND FORKS,ND,47.71,-97.08,THIS TORNADO TRACKED FOR ABOUT 2.5 MILES FROM ABOUT 3.5 MILES NNE OF REYNOLDS ABOUT 6 MILES NE OF REYNOLDS BY 448 PM CDT. THE TORNADO SNAPPED SEVERAL COTTONWOOD AND ASH (FGF)
