Time,F_Scale,Location,County,State,Lat,Lon,Comments
1907,UNK,7 ESE ELLISVILLE,JONES,MS,31.54,-89.11,BRIEF WEAK EF-0 TORNADO WITH 80 MPH WINDS TOUCHED DOWN ALONG LYON RANCH ROAD AND MOVED SW FOR 0.86 MILES CAUSING TREE AND MINOR ROOF DAMAGE. (JAN)
1936,UNK,5 NNW MOLD,DOUGLAS,WA,47.81,-119.36,CORRECTED PREVIOUS REPORT FOR TIME. TWO SEPARATE REPORTS OF A TORNADO NEAR THIS LOCATION. BOTH FROM SOCIAL MEDIA... BOTH WITH VIDEO. . (OTX)
2030,UNK,5 NNW MOLD,DOUGLAS,WA,47.81,-119.36,TWO SEPARATE REPORTS OF A TORNADO NEAR THIS LOCATION. BOTH FROM SOCIAL MEDIA... BOTH WITH VIDEO. WILL CONTINUE TO INVESTIGATE LOCATION AND TIMING. (OTX)
2225,UNK,2 ENE AIRWAY HEIGHTS,SPOKANE,WA,47.66,-117.54,AIRWAY HEIGHTS WASHINGTON NORTH AND WEST OF THE US-2/HAYFORD ROAD INTERSECTION. (OTX)
2230,UNK,2 ENE AIRWAY HEIGHTS,SPOKANE,WA,47.66,-117.54,DEBRIS FROM POSSIBLE TORNADO REPORTED AT FLINT AND GREENWOOD SPOKANE. (OTX)
