Time,F-Scale,Location,County,State,Lat,Lon,Comments
1235,UNK,RIO HONDO,CAMERON,TX,26.23,-97.58,(BRO)
1447,UNK,PREMONT,JIM WELLS,TX,27.36,-98.12,HOUSE DAMAGED AND UTILITY POLES DOWN NEAR PREMONT (CRP)
1539,UNK,25 NNE ZAPATA,ZAPATA,TX,27.23,-99.11,SHERIFF RELAYED PUBLIC REPORT OF TORNADO IN NORTHERN ZAPATA COUNTY. (BRO)
1546,UNK,4 S ANNAROSE,JIM WELLS,TX,28.03,-98.17,(CRP)
1554,UNK,5 W ANNAROSE,LIVE OAK,TX,28.09,-98.25,(CRP)
1629,UNK,TYNAN,SAN PATRICIO,TX,28.16,-97.73,TORNADO ON THE GROUND NEAR FM 630 AND 796. (CRP)
1644,UNK,1 NW ALICE,JIM WELLS,TX,27.77,-98.08,(CRP)
1650,UNK,10 NW ALICE,JIM WELLS,TX,27.86,-98.18,MOBILE HOME COMPLETELY DESTROYED...SEVERAL HOMES DAMAGED...TREES DOWN ON COUNTY ROAD 120...122...123 AND CR 124...NO INJURIES. (CRP)
1724,UNK,10 N SAN DIEGO,DUVAL,TX,27.9,-98.24,TORNADO ON THE GROUND NEAR COUNTY ROAD 103 (CRP)
1740,UNK,MCALLEN,HIDALGO,TX,26.22,-98.24,PUBLIC REPORTED TORNADO FROM S 23RD STREET IN MCALLEN RELAYED BY CH4 TV METEOROLOGIST (BRO)
1905,UNK,MISSION,HIDALGO,TX,26.21,-98.32,PUBLIC REPORT OF WEAK TORNADO AT GLASSCOCK AND 495 RELAYED BY CH4 TV METEOROLOGIST. (BRO)
2205,UNK,LARGO,PINELLAS,FL,27.91,-82.78,F0 TORNADO,WIDTH 75 YARDS,PATH LENGTH 1/2 MILE,FIVE MOBILE HOME PARKS WITH DAMAGE INCLUDING HONEYVINE,TOWN AND COUNTRY,RANCHERO,PALM HILL NORTH AND SUGAR CREEK. 4 (TBW)
0005,UNK,GEORGE WEST,LIVE OAK,TX,28.33,-98.12,PUBLIC REPORTED A TORNADO NEAR GEORGE WEST (CRP)
