Time,F-Scale,Location,County,State,Lat,Lon,Comments
1925,UNK,14 NE BOTTINEAU,BOTTINEAU,ND,48.97,-100.22,TORNADO NEAR LAKE METIGOSHE. (BIS)
2014,UNK,1 NW BELCOURT,ROLETTE,ND,48.85,-99.76,TORNADO ON THE GROUND 1 NORTH AND 1 WEST OF BELCOURT (BIS)
2014,UNK,ROLLA,ROLETTE,ND,48.86,-99.62,TORNADO NEAR ROLLA DROPPED DOWN TWICE AND TOUCHED THE GROUND (BIS)
2030,UNK,1 NE ROLLA,ROLETTE,ND,48.87,-99.6,TORNADO JUST MISSED HOUSE ON SOUTH SIDE. HAIL 1 1/2 INCH (BIS)
2035,UNK,1 NE ROLLA,ROLETTE,ND,48.87,-99.6,DEBRIS FROM TORNADO AND HAIL 1 1/2 INCH (BIS)
2045,UNK,5 N PERTH,TOWNER,ND,48.79,-99.46,SHERIFF REPORTS TWO TORNADOES ONE 5 NORTH AND ONE 5 WEST OF PERTH. (FGF)
2111,UNK,7 SE ROCKLAKE,TOWNER,ND,48.72,-99.14,BRIEF TOUCHDOWN THEN BACK INTO CLOUD (FGF)
2125,UNK,5 E ROCKLAKE,TOWNER,ND,48.79,-99.14,(FGF)
2230,UNK,4 N FINLEY,STEELE,ND,47.57,-97.84,(FGF)
2318,UNK,8 W PARK RIVER,WALSH,ND,48.39,-97.92,TOUCHDOWN NEAR THE INTERSECTION OF 14 AND 17 NORTH OF LANKIN MOVING EAST.DIRT CAN BE SEEN GOING UP INTO THE CLOUDS. (FGF)
0004,UNK,5 S MARKESAN,GREEN LAKE,WI,43.64,-88.99,AN EF-1 TORNADO SPUN UP AT 704 PM 4.9 MILES SOUTH OF MARKESAN AND TRAVELLED 1.0 MILE TO 4.3 MILES SSE OF MARKESAN BY 706 PM. THE MAX PATH WIDTH WAS 75 YARDS. (MKX)
0018,UNK,2 SE MARKESAN,GREEN LAKE,WI,43.69,-88.96,EMERGENCY MANAGER OF GREEN LAKE COUNTY SURVEYED DAMAGE NEAR MARKESAN AND CONCLUDED DAMAGE WAS FROM A WEAK TORNADO. THIS IS A CORRECTION TO PREVIOUS THUNDERSTORM WIND DA (MKX)
