Time,F-Scale,Location,County,State,Lat,Lon,Comments
2045,UNK,5 S MAHNOMEN,MAHNOMEN,MN,47.24,-95.97,TORNADO OBSERVED MOVING ACROSS HIGHWAY 59 AND LIFTING ABOUT 5 NNE OF WAUBUN AROUND 349 PM CDT. TORNADO APPEARED TO PASS JUST SOUTH OF THE MAHNOMEN COUNTY AIRPORT. (FGF)
2100,UNK,4 E MAHNOMEN,MAHNOMEN,MN,47.31,-95.88,(FGF)
2100,UNK,2 SE BEAULIEU,MAHNOMEN,MN,47.32,-95.77,TORNADO TRACKED TO THE NORTH NORTHEAST FOR ABOUT 13 MILES. NUMEROUS TREES AND POWER POLES WERE SNAPPED ALONG THE PATH. FARM SHEDS WERE BLOWN DOWN AND MACHINERY FLIPPED. (FGF)
2100,UNK,5 S FOSSTON,POLK,MN,47.51,-95.75,NEAR SAND HILL LAKE CLOSE TO MAHNOMEN/POLK COUNTY LINE BEBRIS WAS FALLING FROM CLOUD AS LAW ENFORCEMENT OBSERVED TORNAO LIFT BACK INTO CLOUD. (FGF)
2111,UNK,3 ENE FRAZEE,BECKER,MN,46.74,-95.64,AT LEAST TWO FUNNELS WERE SIGHTED EAST OF FRAZEE. A BRIEF TOUCHDOWN WAS OBSERVED IN AN OPENED AREA. (FGF)
2143,UNK,10 SSW WADENA,OTTER TAIL,MN,46.31,-95.21,(FGF)
2329,UNK,1 SW WILLMAR,KANDIYOHI,MN,45.11,-95.06,ONE QUARTER MILE SW OF WILMAR WITH DEBRIS IN THE AIR. STILL ON THE GROUND MOVING EAST AT 15 MPH. (MPX)
2338,UNK,1 E WILLMAR,KANDIYOHI,MN,45.12,-95.03,APPROXIMATELY 200 YARDS WIDE. HIT A FARM AND PICKED UP A LARGE AMOUNT OF METAL DEBRIS. MOVING 40 TO 50 MPH TOWARD THE EAST. (MPX)
2345,UNK,4 SE WILLMAR,KANDIYOHI,MN,45.08,-95.01,2 HOUSES HEAVILY DAMAGED ON SW 26TH AVE NEAR 40TH ST SE. (MPX)
2347,UNK,8 W WILLMAR,KANDIYOHI,MN,45.12,-95.21,OCCURRED NEAR HIGHWAY 40 AND JUST EAST OF COUNTY ROAD 7. (MPX)
2354,UNK,1 E WILLMAR,KANDIYOHI,MN,45.12,-95.03,ONE HOUSE SEVERELY DAMAGED. TWO TURKEY BARNS FLATTENED. (MPX)
