Time,F-Scale,Location,County,State,Lat,Lon,Comments
1312,UNK,6 SSE POTH,WILSON,TX,28.99,-98.04,WILSON COUNTY SO RECEIVED A CALL REPORTING A TORNADO ALONG CR202W WHICH TWISTED AN OAK TREE...LIFTED A CAR PORT AND DAMAGED SOME GUTTERS. (EWX)
1420,UNK,2 S SAN ANTONIO,BEXAR,TX,29.39,-98.48,.25 MILE TRACK 30 YDS WIDE RUNNING SE NW...EST 80 MPH WINDS...TREES DOWN AND ROOF DAMAGE (EWX)
1538,UNK,5 NW DEERFIELD,ROCKINGHAM,NH,43.2,-71.29,*** 1 FATAL *** TREES DOWN AND HOMES DAMAGED. CONFIRMED BY NWS STORM SURVEY. EF MAGNITUDE UNKNOWN AT THIS TIME. (GYX)
1538,UNK,2 E EPSOM,MERRIMACK,NH,43.22,-71.29,5O TO 100 HOUSES DAMAGED. (GYX)
1540,UNK,6 W NORTHWOOD,ROCKINGHAM,NH,43.19,-71.27,DAMAGE NORTH OF NORTHWOOD LAKE. (GYX)
1543,UNK,PITTSFIELD,MERRIMACK,NH,43.31,-71.32,TREES AND POWER LINES DOWN. 2 HOMES DAMAGED. (GYX)
1547,UNK,3 SE BARNSTEAD,BELKNAP,NH,43.3,-71.25,MULTIPLE HOUSES COLLAPSED NEAR BARNSTEAD. (GYX)
1555,UNK,3 NE BARNSTEAD,BELKNAP,NH,43.36,-71.25,NUMEROUS TREES AND STRUCTURES DAMAGED. (GYX)
1600,UNK,2 SSE ALTON,BELKNAP,NH,43.44,-71.22,TREES AND WIRES DOWN. STRUCTURES DAMAGED. (GYX)
1605,UNK,2 N NEW DURHAM,STRAFFORD,NH,43.47,-71.17,NUMEROUS TREES DOWN. (GYX)
1620,UNK,4 E WOLFEBORO,CARROLL,NH,43.59,-71.12,TREES DOWN. (GYX)
1630,UNK,2 E OSSIPEE,CARROLL,NH,43.69,-71.08,HUNDREDS OF TREES DOWN. (GYX)
1638,UNK,2 W EFFINGHAM,CARROLL,NH,43.76,-71.04,TREES AND POWER LINES DOWN. HOMES CARS AND OTHER STRUCTURES DAMAGED. (GYX)
1645,UNK,1 SE FREEDOM,CARROLL,NH,43.8,-71.02,TREES DOWN. (GYX)
