Time,F_Scale,Location,County,State,Lat,Lon,Comments
2215,UNK,2 SE OLD HICKORY,DAVIDSON,TN,36.24,-86.62,EF0 TORNADO TOUCHED DOWN BRIEFLY IN THE BRANDYWINE FARMS SUBDIVISION ALONG ROLLING MILL ROAD THEN MOVED EAST BEFORE LIFTING ALONG SHANNON PLACE IN THE BRANDYWINE POINT (OHX)
2219,UNK,2 W GREEN HILL,DAVIDSON,TN,36.23,-86.61,TREES DOWN AND MINOR ROOF DAMAGE IN BRANDYWINE FARMS AND BRANDYWINE POINTE SUBDIVISIONS. DAMAGE APPEARS TO BE TORNADIC. EVENT TIME ESTIMATED USING RADAR. (OHX)
2222,UNK,GREEN HILL,WILSON,TN,36.23,-86.57,EF0 TORNADO TOUCHED DOWN BRIEFLY IN THE LANGFORD FARMS SUBDIVISION OF GREEN HILL AND MOVED NORTHEAST ACROSS PEACH ORCHARD DRIVE...KENSINGTON DRIVE...BROWNLEAF DRIVE...A (OHX)
2344,UNK,4 ENE MOUNT JULIET,WILSON,TN,36.23,-86.46,EF0 TORNADO TOUCHED DOWN ALONG BASS LANE WITH SEVERAL TREES BLOWN DOWN AND MINOR DAMAGE TO A HOUSE. OTHER TREES WERE BLOWN DOWN ON QUARRY LOOP ROAD AT QUARRY ROAD AND A (OHX)
0020,UNK,4 SW LEBANON,WILSON,TN,36.17,-86.37,EF0 TORNADO TOUCHED DOWN ALONG OLD SHANNON ROAD AND MOVED EAST ACROSS HIGHWAY 231. A FENCE AND OTHER OBJECTS WERE BLOWN DOWN AT A SPEEDWAY GAS STATION ON HIGHWAY 231 AT (OHX)
0036,UNK,2 SE LEBANON,WILSON,TN,36.19,-86.3,EF0 TORNADO TOUCHED DOWN ON SPARTA PIKE AT PEYTON ROAD THEN MOVED ACROSS THE WILSON COUNTY FAIRGROUNDS BEFORE LIFTING ALONG BLUEBIRD ROAD. AN OUTBUILDING WAS DESTROYED (OHX)
