Time,F-Scale,Location,County,State,Lat,Lon,Comments
1850,UNK,5 ENE NASHVILLE,HEMPSTEAD,AR,33.97,-93.77,SHERIFF OFFICE AND EM CONFIRMING DAMAGE ALONG HEMPSTEAD 349 TO A SHOP AND TREES DOWNED. 3 EYEWITNESSES SPOTTED THE TORNADO IN A FIELD NEAR THE AREA SOUTHEAST OF THE TOW (SHV)
2109,UNK,1 W SLIDE,LUBBOCK,TX,33.41,-101.95,LANDSPOUT TORNADO REPORTED NEAR FM 41 AND UPLAND (LUB)
