Time,F-Scale,Location,County,State,Lat,Lon,Comments
1340,UNK,5 W KINDRED,CASS,ND,46.65,-97.13,EF1 TORNADO TRACKED FOR ABOUT 2 MILES TO THE NORTHEAST TO AROUND 4 MILES WEST OF KINDRED. SIGNIFICANT TREE DAMAGE WAS DONE TO THREE FARMSTEADS. MAXIMUM WIDTH WAS ESTIMA (FGF)
2321,UNK,MORSE,ASHLAND,WI,46.22,-90.63,UNCONFIRMED PUBLIC REPORT OF A TORNADO RELAYED THROUGH COPPER FALLS STATE PARK. (DLH)
0012,UNK,8 NE BUTTERNUT,ASHLAND,WI,46.1,-90.38,THIS TORNADO OCCURRED NORTH OF HIGHWAY F ALONG RODDIS LINE ROAD. TREE DAMAGE WAS NOTED IN THIS AREA WITH TREES ON THE NORTH SIDE OF THE TRACK BLOWN DOWN FACING SOUTH AN (DLH)
0016,UNK,BALSAM LAKE,POLK,WI,45.46,-92.45,EF-O TORNADO TOUCHED DOWN ON THE WEST SIDE OF BALSAM LAKE AND DISSIPATED ON THE EAST SIDE OF BALSAM LAKE. DAMAGE INCLUDED A SMALL GROVE OF LARGE TREES COMPLETELY UPROOT (MPX)
0021,UNK,TURTLE FLAMBEAU FLOWAGE,IRON,WI,46.08,-90.18,*** 6 INJ *** DAMAGE ASSESSMENT CONFIRMS A TORNADO. LSR ORIGINALLY SENT AS TSTM WIND DMG. EXTENSIVE DAMAGE TO TREES WAS NOTED...INCLUDING LARGE STANDS OF MIXED FOREST I (DLH)
0034,UNK,2 NW TURTLE LAKE,POLK,WI,45.41,-92.17,EF-1 TORNADO WITH PATH LENGTH OF 3 MILES. IT DISSIPATED ONE MILE NORTHEAST OF TURTLE LAKE IN WESTERN BARRON COUNTY. MAXIMUM WIDTH OF 50 YARDS. DAMAGE INCLUDED...A LARGE (MPX)
0059,UNK,3 SSE CAMERON,BARRON,WI,45.36,-91.72,EF-1 TORNADO PROCEEDED SOUTHEAST ACROSS PRAIRIE LAKE...AND DISSIPATED TWO MILES NORTH OF CHETEK. PATH LENGTH OF 3.5 MILES...MAXIMUM WIDTH OF 75 YARDS. DAMAGE...NUMEROUS (MPX)
