Time,F_Scale,Location,County,State,Lat,Lon,Comments
2130,UNK,1 SW BLAISDELL,MOUNTRAIL,ND,48.33,-102.09,SPOTTER WAS LOCATED 8 MILES SOUTH OF BLAISDELL LOOKING NORTHWEST AND GUESSED THE TORNADO WAS 8 MILES NORTHWEST OF HIS LOCATION. (BIS)
2142,UNK,15 WSW BERTHOLD,MOUNTRAIL,ND,48.23,-102.04,TORNADO STILL ON THE GROUND. (BIS)
2144,UNK,3 E PALERMO,MOUNTRAIL,ND,48.34,-102.16,TORNADO REPORTED JUST SOUTH OF HIGHWAY 2 MM 101 (BIS)
2158,UNK,4 SW TAGUS,MOUNTRAIL,ND,48.31,-101.99,TORNADO ROPED OUT AND ENDED AT 4...46 PM CDT (BIS)
