Time,F-Scale,Location,County,State,Lat,Lon,Comments
2126,UNK,13 N SEIBERT,KIT CARSON,CO,39.49,-102.87,(GLD)
2133,UNK,10 N SEIBERT,KIT CARSON,CO,39.44,-102.87,MULTIPLE REPORTS OF TWO TORNADOES AT THE SAME TIME WITH THE SAME STORM AT ABOUT 2130Z (GLD)
2137,UNK,3 W SEIBERT,KIT CARSON,CO,39.3,-102.92,MULTIPLE REPORTS FROM LAW ENFORCEMENT (GLD)
2151,UNK,12 N BETHUNE,KIT CARSON,CO,39.48,-102.42,(GLD)
2210,UNK,5 NW BURLINGTON,KIT CARSON,CO,39.36,-102.34,(GLD)
2237,UNK,3 W SEIBERT,KIT CARSON,CO,39.3,-102.92,MULTIPLE REPORTS FROM LAW ENFORCEMENT. REPORT CORRECTED FOR TIME OF EVENT. (GLD)
0209,UNK,4 WNW JOLLEY,CALHOUN,IA,42.51,-94.79,(DMX)
0303,UNK,5 SW LAS ANIMAS,BENT,CO,38.02,-103.29,TORNADO ON GROUND IN OPEN FIELD (PUB)
