Time,F-Scale,Location,County,State,Lat,Lon,Comments
0021,UNK,3 W ADRIAN,NOBLES,MN,43.63,-95.99,CHASER ON I-90 SAW A FUNNEL CLOUD DESCEND TO THE GROUND WEST OF ADRIAN. (FSD)
0056,UNK,1 N ELLSWORTH,NOBLES,MN,43.54,-96.02,TORNADO ON GROUND MOVING SOUTHEAST. (FSD)
0058,UNK,1 W ADRIAN,NOBLES,MN,43.63,-95.95,TREE DAMAGE AT 250TH STREET AND BURKETT. (FSD)
0154,UNK,3 E VIBORG,TURNER,SD,43.17,-97.02,(FSD)
0210,UNK,4 N CENTERVILLE,TURNER,SD,43.18,-96.96,4 PEOPLE TRAPPED IN A HOUSE HIT BY A TORNADO. (FSD)
