Time,F-Scale,Location,County,State,Lat,Lon,Comments
0000,UNK,4 SE EMERADO,GRAND FORKS,ND,47.88,-97.3,(FGF)
0020,UNK,9 W THOMPSON,GRAND FORKS,ND,47.77,-97.3,(FGF)
0028,UNK,6 S NORTHWOOD,STEELE,ND,47.65,-97.57,(FGF)
0028,UNK,1 E ARVILLA,GRAND FORKS,ND,47.92,-97.47,(FGF)
0030,UNK,2 W PORTLAND,TRAILL,ND,47.5,-97.41,(FGF)
0030,UNK,GOLDEN LAKE,STEELE,ND,47.58,-97.64,(FGF)
0043,UNK,4 S HATTON,TRAILL,ND,47.58,-97.46,(FGF)
0043,UNK,4 SW HATTON,STEELE,ND,47.6,-97.52,(FGF)
0043,UNK,4 S NORTHWOOD,GRAND FORKS,ND,47.68,-97.57,(FGF)
0048,UNK,6 SE HATTON,TRAILL,ND,47.57,-97.37,(FGF)
0125,UNK,12 S ECKELSON,BARNES,ND,46.76,-98.33,(FGF)
0133,UNK,8 NW LITCHVILLE,BARNES,ND,46.74,-98.31,(FGF)
0143,UNK,11 NW LITCHVILLE,BARNES,ND,46.66,-98.19,(FGF)
0143,UNK,11 NW LITCHVILLE,BARNES,ND,46.77,-98.36,(FGF)
0150,UNK,1 NW MARION,LAMOURE,ND,46.62,-98.35,(BIS)
0157,UNK,6 W LITCHVILLE,BARNES,ND,46.66,-98.32,(FGF)
0245,UNK,TOWER CITY,CASS,ND,46.93,-97.68,(FGF)
