Time,F_Scale,Location,County,State,Lat,Lon,Comments
2022,UNK,8 NW WALSH,BACA,CO,37.47,-102.38,LAW ENFORCEMENT REPORTED TORNADO NORTHWEST OF WALSH. LOCATION ESTIMATED. (PUB)
2034,UNK,6 NE TWO BUTTES,BACA,CO,37.62,-102.32,NUMEROUS REPORTS OF TORNADO NEAR PROWERS AND BACA COUNTY LINE NORTHEAST OF TWO BUTTES. TORNADO HAS BEEN ON GROUND FOR AT LEAST 20 MINUTES. (PUB)
2105,UNK,13 S COOLIDGE,HAMILTON,KS,37.86,-101.98,LANDSPOUT TORNADO (DDC)
2105,UNK,13 S COOLIDGE,HAMILTON,KS,37.86,-102.04,LANDSPOUT TORNADO (DDC)
