Time,F_Scale,Location,County,State,Lat,Lon,Comments
1640,UNK,6 NE COCHRANTON,CRAWFORD,PA,41.58,-79.96,EF0 TORNADO CONFIRMED BY PRELIMINARY STORM SURVEY. TORNADO BRIEFLY TOUCHDOWN AROUND THE INTERSECTION OF FOWLER ROAD AND STATE HIGHWAY 173. DAMAGE REPORTS WERE TWO BARNS (CLE)
1655,UNK,1 SW DEMPSEYTOWN,VENANGO,PA,41.5,-79.79,NWS STORM SURVEY TEAM DETECTED EF1 TORNADO DAMAGE NEAR SR 417... WHERE HARDWOOD TREES WERE SNAPPED AND UPROOTED. TIME ESTIMATE BASED ON RADAR. (PBZ)
1808,UNK,2 NNE WHITE,FAYETTE,PA,40.1,-79.42,DAMAGE EXTENDING DOWN KESSLER SCHOOL ROAD NEAR KESSLER EXTENSION... IN SALT LICK TOWNSHIP IN FAYETTE COUNTY. PA. SINGLE STORY SHED OVERTURNED POWERLINES DOWN... BARN RO (PBZ)
1827,UNK,3 ESE SEVEN SPRINGS,SOMERSET,PA,40.01,-79.24,A TORNADO DEVELOPED WITHIN LAUREL HILL STATE PARK DURING THE AFTERNOON HOURS OF THURSDAY... JULY 29... 2021. THE TORNADO BEGAN JUST NORTH OF LAUREL HILL PARK DRIVE AND (CTP)
2004,UNK,4 N GREENWICH TWP,BERKS,PA,40.61,-75.81,A TORNADO TOUCHED DOWN NEAR TURKEY RD IN KEMPTON... ALBANY TWP... BERKS COUNTY... PA... JUST WEST OF THE BORDER WITH LEHIGH COUNTY. ABOUT 15 TREES WERE UPROOTED IN THE (PHI)
2006,UNK,3 WNW WEISENBERG TWP,LEHIGH,PA,40.62,-75.78,A TORNADO TOUCHED DOWN BETWEEN KUNKELS MILL RD AND RED RD NEAR THE FAR SOUTHERN TIP OF LYNN TWP IN LEHIGH COUNTY... PENNSYLVANIA... JUST EAST OF THE COUNTY LINE WITH BE (PHI)
2027,UNK,1 NNW SLATINGTON,LEHIGH,PA,40.77,-75.62,A TORNADO TOUCHED DOWN ON THE GROUNDS OF NORTHERN LEHIGH HIGH SCHOOL IN SLATINGTON. SEVERAL TREES WERE SNAPPED OR UPROOTED AT THE HIGH SCHOOL... WITH MOST OF THE SNAPPI (PHI)
2050,UNK,1 WNW NEW ATHENS,HARRISON,OH,40.19,-81.01,NWS SURVEY TEAM DETECTED EF1 TORNADO DAMAGE ALONG WEBB ROAD IN NEW ATHENS... OH WHERE SOFTWOOD TREES WERE UPROOTED AND SNAPPED. TIME ESTIMATED BASED ON RADAR. (PBZ)
2055,UNK,NEW ATHENS,HARRISON,OH,40.18,-81,TORNADO SPOTTED HEADING FROM NEW ATHENS TOWARD HARRISVILLE. REPORT OF A HOUSE OUT IN THE ROAD IN NEW ATHENS. (PBZ)
2055,UNK,NEW ATHENS,HARRISON,OH,40.19,-80.99,NWS SURVEY TEAM OBSERVED EF2 TORNADO DAMAGE IN THE TOWN OF NEW ATHENS... OH... WHERE DAMAGE TO RESIDENTIAL STRUCTURES WAS OBSERVED. HARDWOOD TREES WERE SNAPPED OR UPROO (PBZ)
2057,UNK,NEW ATHENS,HARRISON,OH,40.19,-80.99,NWS SURVEY TEAM DETECTED EF1 TORNADO DAMAGE EAST OF NEW ATHENS... OH WHERE ELECTRICAL TRANSMISSION LINES WERE SNAPPED... HARDWOOD TREES UPROOTED AND SNAPPED... AND STRU (PBZ)
2102,UNK,2 E ECKLEY,CARROLL,OH,40.62,-80.99,NWS STORM SURVEY TEAM DETECTED EFO TORNADO DAMAGE ALONG CHANNEL RD NE WHERE STRUCTURAL DAMAGE TO FARM OUTBUILDINGS AND RESIDENTIAL PROPERTY OCCURED. TIME ESTIMATE BASED (PBZ)
2107,UNK,2 SE COLUMBIA,HOWARD,MD,39.18,-76.82,EF0. PEAK WINDS 70MPH. PATH LENGTH 0.3 MILES. PATH WIDTH 50 YARDS. (LWX)
2109,UNK,1 S SCROGGSFIELD,CARROLL,OH,40.57,-80.96,NWS STORM SURVEY TEAM DETECTED EF0 TORNADO DAMAGE ALONG PARMA RD SE... WHERE 1-3 INCH DIAMETER HARDWOOD TREE BRANCHES WERE BROKEN. (PBZ)
2115,UNK,2 NW BERGHOLZ,JEFFERSON,OH,40.54,-80.91,NWS STORM SURVEY TEAM DETECTED EF0 TORNADO DAMAGE ALONG TR 263 WHERE HARDWOOD TREES WERE UPROOTED. TIME BASED ON RADAR. (PBZ)
2116,UNK,1 SSW MACKSBURG,WASHINGTON,OH,39.62,-81.46,VIDEO OF APPARENT TORNADO TOUCHDOWN NEAR I-77 ALONG WITH TREE DAMAGE NEAR INTERSECTION OF HIGHLAND RIDGE RD AND CATS CREEK RD. (RLX)
2120,UNK,2 NE NEW HOLLAND,PICKAWAY,OH,39.58,-83.23,BRIEF EF0 TORNADO CONFIRMED NEAR NEW HOLLAND IN PICKAWAY COUNTY OHIO. (ILN)
2120,UNK,BERGHOLZ,JEFFERSON,OH,40.52,-80.89,NWS SURVEY TEAM IDENTIFIED EF1 TORNADO DAMAGE ALONG TR 276 WHERE MULTIPLE HARDWOOD TREES WERE LEVELED NORTH OF BERKHOLZ CEMETERY AND WEST OF THE TOWN OF BERKHOLZ. (PBZ)
2120,UNK,2 WSW IDEAL,INDIANA,PA,40.62,-79.1,NWS SURVEY TEAM OBSERVED EF0 TORNADO DAMAGE NEAR GEESEY ROAD... WHERE CORN FIELDS WERE DISRUPTED AND FARM OUTBUILDINGS WERE DAMAGED. TIME ESTIMATE BASED ON RADAR. (PBZ)
2134,UNK,4 ESE FREDERICKSBURG,LEBANON,PA,40.43,-76.35,A TORNADO TOUCHED DOWN ON THE EVENING OF JULY 29TH... 2021 NEAR HOUTZTOWN RD WHERE IT DESTROYED A FARM GATE... THEN MOVED SOUTHEAST ACROSS A FIELD WHERE IT KNOCKED OVER (CTP)
2140,UNK,1 N GARDENVILLE,BUCKS,PA,40.39,-75.11,TREE DAMAGE BEGAN IN THE AREA OF BRADSHAW RD IN PLUMSTEAD TWP IN BUCKS COUNTY... WHERE A FEW SIZABLE LIMBS WERE DOWNED AND A COUPLE OF LARGER BUT WEAKENED TREES WERE SN (PHI)
2150,UNK,WINTERSVILLE,JEFFERSON,OH,40.38,-80.71,NWS STORM SURVEY DETECTED EF1 DAMAGE SW OF WINTERSVILLE... OH... WHERE BOTH HARDWOOD AND SOFTWOOD TREES WERE SNAPPED... AND DAMAGE TO RESIDENTIAL PROPERTY AND FARM OUTB (PBZ)
2154,UNK,1 SSW VERONA,ESSEX,NJ,40.82,-74.25,BRIEF EF0 TORNADO CONFIRMED BY NWS STORM SURVEY. TORNADO LIKELY TOUCHED DOWN INSIDE THE MONTCLAIR GOLF CLUB AND TRAVELED NORTHEAST. THREE FULL TREES AND 10-20 LARGE LIM (OKX)
2159,UNK,NEW ALEXANDRIA,JEFFERSON,OH,40.29,-80.68,TORNADO REPORTED SEEN ON THE GROUND IN NEW ALEXANDRIA PARTIALLY WRAPPED IN RAIN BANDS. (PBZ)
2159,UNK,1 S NEW HOPE,BUCKS,PA,40.34,-74.95,THE SUPERCELL STORM WHICH PRODUCED A TORNADO IN PLUMSTEAD TWP CYCLED AND PRODUCED ANOTHER TORNADO BEGINNING IN NEW HOPE IN BUCKS COUNTY... PENNSYLVANIA. TREE DAMAGE BEG (PHI)
2201,UNK,2 ESE MAJORSVILLE,GREENE,PA,39.96,-80.49,CONFIRMED EF1 TORNADO (PBZ)
2210,UNK,1 NNW NANTY-GLO,CAMBRIA,PA,40.48,-78.84,A TORNADO OCCURRED ON THE EVENING OF JULY 29TH... 2021 NEAR NANTY-GLO... CAMBRIA COUNTY... PENNSYLVANIA. THE TORNADO DEVELOPED ON THE WESTERN SIDE OF THE BLACKLICK VALL (CTP)
2212,UNK,4 S PORTAGE,COLUMBIA,WI,43.49,-89.46,NWS STORM SURVEY HAS CONFIRMED AN EF-1 TORNADO SOUTH OF PORTAGE. THIS TORNADO PRODUCED AN AREA OF DAMAGE TO TREES... MOBILE HOMES... AND OUTBUILDING STRUCTURES BETWEEN (MKX)
2227,UNK,1 NNW SLATINGTON,LEHIGH,PA,40.77,-75.62,A TORNADO TOUCHED DOWN ON THE GROUNDS OF NORTHERN LEHIGH HIGH SCHOOL IN SLATINGTON. SEVERAL TREES WERE SNAPPED OR UPROOTED AT THE HIGH SCHOOL... WITH MOST OF THE SNAPPI (PHI)
2240,UNK,3 ENE GREENUP,CUMBERLAND,IL,39.27,-88.11,DAMAGED CROPS... TREES... AND AN OUTBUILDING. DELAYED REPORT FROM YESTERDAY. (ILX)
2256,UNK,WINDSOR,MERCER,NJ,40.24,-74.58,THE WINDSOR-ROBBINSVILLE TOWNSHIP TORNADO BEGAN ON ROUTE 130 JUST SOUTH OF THE TOWN OF WINDSOR NEAR THE ASSUNPINK CREEK. A FEW HARDWOOD TREES WERE UPROOTED ALONG THE HI (PHI)
2304,UNK,SOMERTON,PHILADELPHIA,PA,40.13,-75,*** 5 INJ *** THE SOMERTON-TREVOSE-BENSALEM TORNADO BEGAN IN SOMERTON IN PHILADELPHIA COUNTY NEAR SOUTHAMPTON ROAD... KELVIN AVENUE... AND TREVOSE ROAD WHERE IT UPROOTE (PHI)
2307,UNK,1 SW NORTHEAST PHILADEL,PHILADELPHIA,PA,40.08,-75.03,A BRIEF TORNADO OCCURRED IN THE BUSTLETON SECTION OF NORTHEAST PHILADELPHIA. DAMAGE WAS FIRST OBSERVED NEAR GRANT AVE AT THE GRANT GARDENS APARTMENT COMPLEX... WHERE SO (PHI)
