Time,F-Scale,Location,County,State,Lat,Lon,Comments
2109,UNK,LACOMBE,ST. TAMMANY,LA,30.31,-89.93,TROOP L MANDEVILLE RELAYED A REPORT OF A BRIEF TOUCH DOWN NEAR LACOMBE. NO DAMAGE OR INJURIES. (LIX)
0120,UNK,11 S CORDES JUCNTION,YAVAPAI,AZ,34.17,-112.12,TORNADO REPORTED CROSSING INTERSTATE 17 ... 1 MILE NORTH OF SUNSET POINT REST AREA. (FGZ)
