Time,F-Scale,Location,County,State,Lat,Lon,Comments
2134,UNK,1 N ELKHART,POLK,IA,41.81,-93.51,BRIEF TOUCHDOWN HAS NOW LIFTED. VERY HEAVY RAIN (DMX)
2145,UNK,6 NE ANKENY,POLK,IA,41.79,-93.54,NUMEROUS TREES DOWN. HOUSE DAMAGE WITH PART OF HOUSE IN THE TREES. SEVERAL SIGNS BLOWN DOWN. (DMX)
2156,UNK,VALERIA,JASPER,IA,41.73,-93.32,FUNNEL VISIBLE NEARLY TO THE GROUND. CIRCULATION. (DMX)
2222,UNK,NEWTON,JASPER,IA,41.7,-93.05,SOUTHERN END OF NEWTON. (DMX)
2245,UNK,4 SW LOVILIA,MONROE,IA,41.09,-92.96,DEBRIS TRACK EVIDENT WITH TORNADO WEST OF HITEMAN FROM POSSIBLE TORNADO. CONSIDERABLE TREE DAMAGE WITH EVIDENCE THAT WINDS WERE NOT STRAIGHT LINE. (DMX)
