Time,F_Scale,Location,County,State,Lat,Lon,Comments
1317,UNK,BERKELEY HEIGHTS,UNION,NJ,40.68,-74.43,EF0 TORNADO CONFIRMED BY STORM SURVEY. INFORMATION IN THIS STATEMENT IS PRELIMINARY AND IS SUBJECT TO CHANGE. (OKX)
1458,UNK,1 SSW STANWICH,FAIRFIELD,CT,41.1,-73.63,EF0 TORNADO CONFIRMED BY STORM SURVEY. INFORMATION IN THIS STATEMENT IS PRELIMINARY AND SUBJECT TO CHANGE. (OKX)
1728,UNK,WINDSOR,HARTFORD,CT,41.85,-72.65,PRELIMINARY DAMAGE INFORMATION PENDING COMPLETION OF DAMAGE SURVEY. IN WINDSOR...THE ROOF WAS RIPPED OFF OF A WAREHOUSE ON HAYDEN STATION ROAD. IN WINDSOR LOCKS...TRANS (BOX)
2333,UNK,2 WNW BRANDYWINE,PRINCE GEORGES,MD,38.71,-76.9,EF-0 TORNADO CONFIRMED. PATH LENGTH 2.3 MILES. MAX WIDTH 75 YARDS. PEAK WINDS 60 MPH. TREE DAMAGE ALONG PATH. DAMAGE MOSTLY TOPPED TREES AND LARGE BRANCHES SNAPPED. (LWX)
