Time,F_Scale,Location,County,State,Lat,Lon,Comments
2058,UNK,6 S TOMAH,MONROE,WI,43.9,-90.5,THIS TORNADO TRACKED APPROXIMATELY 21 MILES FROM SOUTH OF TOMAH NORTHEAST INTO THE NECEDAH NATIONAL WILDLIFE REFUGE WITH TREE DAMAGE AND INTERMITTENT STRUCTURE DAMAGE. (ARX)
2107,UNK,2 NW WEST LIMA,VERNON,WI,43.57,-90.56,THIS TORNADO TRACKED APPROXIMATELY 6 MILES ACROSS EASTERN VERNON COUNTY PRODUCING TREE DAMAGE AND SPORADIC STRUCTURE DAMAGE... MAINLY TO FARM BUILDINGS. ESTIMATED PEAK (ARX)
2143,UNK,1 SW MAUSTON,JUNEAU,WI,43.78,-90.09,CORRECTS PREVIOUS TORNADO REPORT FROM 1 SW MAUSTON. THIS TORNADO TRACKED APPROXIMATELY 8 MILES FROM JUST SOUTH OF MAUSTON TOWARDS THE WISCONSIN RIVER WITH ESTIMATED PEA (ARX)
2147,UNK,MAUSTON,JUNEAU,WI,43.8,-90.08,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM MAUSTON. CONFIRMED TORNADO BY SPOTTER. DAMAGE TO HOSPITAL AND GROUNDS. (ARX)
2243,UNK,WEST BLOOMFIELD,WAUSHARA,WI,44.21,-88.96,EF1 TORNADO. NO INJURIES OR FATALITIES. TIME ESTIMATED OFF RADAR. MORE DETAILS TO FOLLOW. (GRB)
2245,UNK,1 NW BOWLER,SHAWANO,WI,44.87,-88.97,DELAYED REPORT. SURVEY TEAM CONFIRMED AN EF1 TORNADO NEAR BOWLER WISCONSIN. WIND SPEEDS WERE ESTIMATED AT 104 MPH. TIME ESTIMATED VIA RADAR. MORE DETAILS TO FOLLOW. (GRB)
2309,UNK,1 NE LEEMAN,OUTAGAMIE,WI,44.57,-88.53,EF-1 TORNADO. 94 MPH MAX WIND SPEEDS. 6/15/22 6:09 PM - 6:18 PM. DAMAGE SURVEY CONDUCTED BY NWS ON 6/16/22. DAMAGE TO FARM BUILDINGS AND SILOS. TREES HAD TRUNKS SNAPPED (GRB)
2311,UNK,1 W BLACK CREEK,OUTAGAMIE,WI,44.46,-88.45,BEGINNING LOCATION OF THE EF1 TORNADO THAT MOVED THROUGH SEYMOUR. TIME ESTIMATED BY RADAR. (GRB)
2314,UNK,NAVARINO,SHAWANO,WI,44.61,-88.48,DELAYED REPORT. STORM SURVEY TEAM CONFIRMED AN EF1 TORNADO IN NAVARINO. ADDITIONAL DETAILS WILL BE AVAILABLE IN THE NEXT FEW DAYS. (GRB)
2317,UNK,SEYMOUR,OUTAGAMIE,WI,44.51,-88.33,EF1 TORNADO. NO INJURIES OR FATALITIES. TIME ESTIMATED OFF RADAR. (GRB)
2334,UNK,4 NNW CALDRON FALLS RES,MARINETTE,WI,45.43,-88.3,TOWN OF SILVER CLIFF. EXTENSIVE DAMAGE TO TREES... BARNS AND FARMSTEADS. DAMAGE TO LOCAL FIRE DEPARTMENT BUILDING. TIME ESTIMATED BY RADAR. (GRB)
2344,UNK,11 SW PEMBINE,MARINETTE,WI,45.51,-88.14,DELAYED REPORT. SURVEY TEAM CONFIRMED AN EF1 TORNADO NORTHWEST OF AMBERG WISCONSIN. TIME ESTIMATED VIA RADAR. (GRB)
0002,UNK,3 NE KREMLIN,MARINETTE,WI,45.68,-87.79,DELAYED REPORT. NWS SURVEY TEAM CONFIRMED AN EF1 TORNADO TO THE EAST NORTHEAST OF PEMBINE. TIME ESTIMATED VIA RADAR. MORE DETAILS TO FOLLOW. (GRB)
0220,UNK,MADISON,GREENWOOD,KS,38.13,-96.14,BRIEF TORNADO ON THE SOUTHERN END OF MADISON. THE TORNADO TREKKED SOUTHEAST PRODUCING DAMAGE TO A CARPORT AND TREES. THE MOST SIGNIFICANT DAMAGE WAS TO A CAMPER CARPORT (ICT)
