Time,F_Scale,Location,County,State,Lat,Lon,Comments
2020,UNK,3 N Lake Park,Becker,MN,46.93,-96.1,WDAY Broadcaster sent us photos of tornado still moving. (FGF)
2020,UNK,6 W Callaway,Becker,MN,46.98,-96.04,Met sent us tornado picture via twitter 6 W of Callaway. (FGF)
2030,UNK,6 W Ada,Norman,MN,47.3,-96.64,Spotter confirms tornado near ADA with picture via twitter. (FGF)
2057,UNK,3 S Flom,Becker,MN,47.12,-96.13,Corrects previous tornado report from 3 S Flom. Hunter Anderson reports touchdown near Flom. (FGF)
2059,UNK,Ada,Norman,MN,47.3,-96.51,Public confirms tornado with picture via twitter. (FGF)
2100,UNK,2 ENE Mahnomen,Mahnomen,MN,47.33,-95.93,Trees damaged. (FGF)
2105,UNK,5 NW Borup,Norman,MN,47.23,-96.58,Tornado touchdown near Borup. (FGF)
2115,UNK,3 E Shelly,Norman,MN,47.46,-96.76,Norman EM reported Touchdown near Shelly heading N-NW. (FGF)
2125,UNK,4 NW Lockhart,Norman,MN,47.48,-96.61,Tornado confirmed near lockhart and went through tree grove Norman EM was going to survey for damage. (FGF)
2130,UNK,2 E Mahnomen,Mahnomen,MN,47.3,-95.93,Corrects previous tornado report from 2 ESE Mahnomen. Reported Barn Damage from Tornado 47.314827... -95.931726. (FGF)
2138,UNK,2 ENE Mahnomen,Mahnomen,MN,47.33,-95.93,Corrects previous tornado report from 2 ENE Mahnomen. Trees damaged. (FGF)
2152,UNK,5 W Waubun,Mahnomen,MN,47.18,-96.05,Hunter anderson clalled about tornado with intermittent touchdowns near Waubun. (FGF)
2152,UNK,4 NW Beltrami,Polk,MN,47.58,-96.59,Spotter mick elm called about 2 Tornadoes forming from one with multiple vortices n. (FGF)
2157,UNK,3 S Flom,Becker,MN,47.12,-96.13,H.Anderson reports touchdown near Flom. (FGF)
2159,UNK,5 WSW Beltrami,Polk,MN,47.52,-96.63,Whitehill Reports another touchdown near Beltrami via NWSchat. (FGF)
2230,UNK,2 ESE Mahnomen,Mahnomen,MN,47.3,-95.93,Reported Barn Damage from Tornado 47.309370... -95.933522. (FGF)
0331,UNK,3 S Maysville,Scott,IA,41.61,-90.71,A tornado developed about 2 miles east of Walcott along Interstate 80. The tornado tracked east and caused sporadic minor tree and structure damage at the Northwest Bou (DVN)
